mid,year,month,day,hour,minute,day_of_year,day_of_week,day_since_hire,Size (MB),Rcpt Count,File Count,Lev_mail,Rcpt Count Personal Max,Rcpt Count Job Max,Rcpt Count Personal Percentile,Rcpt Count Job Percentile,File Count Personal Max,File Count Job Max,File Count Personal Percentile,File Count Job Percentile,Size (MB) Personal Max,Size (MB) Job Max,sub_sensitive_count,files_sensitive_count,files_sensitive_count Personal Max,files_sensitive_count Job Max,files_sensitive_count Personal Percentile,files_sensitive_count Job Percentile,sub_sensitive_count Personal Max,sub_sensitive_count Job Max,sub_sensitive_count Personal Percentile,sub_sensitive_count Job Percentile,Manager ACF2,Job Family,Division,Employment Type,Business Location,Business Group,Employee Status,Local Admin,Privileged User,Government Cleared,target
242,0,0.5,0.933333333,0.565217391,0.355932203,0.590909091,0.166666667,0.58808554,0.12,0.0,0.0,0,0.107142857,0.7,0.415730337,0.138888889,0.131578947,0.511111111,0.224489796,0.046511628,0.241413362,0.605411056,0.333333333,0.142857143,0.142857143,0.142857143,0.944444444,0.707317073,0.333333333,1,0.865168539,0.933333333,0.044334975,0.3125,0.390243902,0.666666667,0.754716981,0.578947368,1.0,0.5,0.5,1,0
265,0,0.5,0.9,0.695652174,0.593220339,0.583333333,0.0,0.488289206,0.006666667,0.0,0.0,0,0.071428571,0.575,0.404494382,0.0,0.578947368,0.911111111,0.214285714,0.104651163,0.467095362,0.939506357,0.333333333,0.142857143,0.142857143,0.142857143,0.877777778,0.841463415,0.333333333,1,0.91011236,0.916666667,0.773399015,0.975,0.390243902,0.666666667,0.754716981,0.526315789,0.0,0.5,0.5,1,1
224,0,0.5,0.633333333,0.608695652,0.694915254,0.522727273,1.0,0.968940937,0.1,0.0,0.034482759,0,0.107142857,0.8,0.179775281,0.125,0.105263158,0.866666667,0.795918367,0.313953488,0.116335837,0.943834011,0.0,0.142857143,0.142857143,0.142857143,0.977777778,0.780487805,0.333333333,1,0.359550562,0.066666667,0.812807882,0.1125,0.609756098,0.666666667,0.754716981,0.526315789,0.333333333,0.5,0.5,1,0
195,0,0.5,0.8,0.47826087,0.033898305,0.560606061,0.666666667,0.617107943,0.0,0.0,0.310344828,0,0.25,0.25,0.123595506,0.069444444,0.289473684,0.6,0.928571429,0.674418605,0.592893952,0.950710743,0.0,0.0,0.142857143,0.142857143,0.388888889,0.182926829,0.333333333,1,0.415730337,0.083333333,0.857142857,0.65,0.390243902,0.666666667,0.811320755,0.578947368,0.0,0.5,0.5,1,0
521,0,0.75,0.933333333,0.347826087,0.86440678,0.818181818,0.5,0.988798371,0.3,0.0,0.172413793,0,0.035714286,0.125,0.426966292,0.319444444,0.342105263,0.733333333,0.928571429,0.941860465,0.609970173,0.598493992,0.0,0.142857143,0.142857143,0.142857143,0.977777778,0.963414634,0.333333333,1,0.438202247,0.133333333,0.837438424,0.2625,0.487804878,0.666666667,0.811320755,0.947368421,0.333333333,0.5,0.5,1,0
165,0,0.5,0.466666667,0.869565217,0.694915254,0.484848485,0.166666667,0.352851324,0.18,0.0,0.310344828,0,0.0,0.8,1.0,0.125,0.236842105,0.866666667,1.0,0.639534884,3.6e-07,0.943834011,0.0,0.0,0.0,0.142857143,1.0,0.170731707,0.0,1,1.0,0.066666667,0.78817734,0.1125,0.219512195,0.666666667,0.754716981,0.526315789,1.0,0.5,0.5,1,1
375,0,0.75,0.3,0.47826087,0.372881356,0.674242424,0.833333333,0.979124236,0.006666667,0.5,0.034482759,0,0.142857143,0.6,0.629213483,0.930555556,0.5,0.8,0.5,0.430232558,0.164076208,0.980394551,0.0,0.0,0.142857143,0.142857143,0.444444444,0.243902439,0.333333333,1,0.438202247,0.05,0.615763547,0.375,0.097560976,0.666666667,0.716981132,0.631578947,1.0,0.5,0.5,1,0
68,0,0.25,1.0,0.434782609,0.338983051,0.371212121,0.0,0.292260692,0.106666667,0.0,0.24137931,0,0.0,0.875,0.617977528,0.069444444,0.026315789,0.755555556,1.0,0.558139535,0.000370459,0.964181225,0.0,0.142857143,0.0,0.142857143,1.0,0.743902439,0.0,1,0.617977528,0.016666667,0.064039409,0.0,0.390243902,0.666666667,0.79245283,0.578947368,0.333333333,0.5,0.5,1,0
49,0,0.25,0.633333333,0.347826087,0.016949153,0.287878788,0.5,0.588594705,0.16,0.0,0.103448276,0,0.0,0.75,0.494382022,0.097222222,0.105263158,0.822222222,0.428571429,0.372093023,0.077134902,0.942985918,0.0,0.285714286,0.142857143,0.142857143,1.0,1.0,0.333333333,1,0.438202247,0.083333333,0.45320197,0.625,0.097560976,0.666666667,0.716981132,0.631578947,0.0,0.5,0.5,1,1
339,0,0.75,0.133333333,0.52173913,0.983050847,0.636363636,0.0,0.976578411,0.22,0.0,0.0,0,0.107142857,0.4,0.438202247,0.194444444,0.210526316,0.755555556,0.346938776,0.0,0.861894107,0.948800971,0.0,0.142857143,0.142857143,0.142857143,0.577777778,0.609756098,0.0,1,0.449438202,0.083333333,0.60591133,0.6125,0.341463415,0.666666667,0.79245283,0.631578947,0.333333333,0.5,0.5,1,0
